seed,count,less_count
3209,13000,13091
3209,13500,13807
3209,14000,13937
3209,14500,14811
3209,15000,15304
3209,15500,15850
3209,16000,16263
3209,16500,16869
3209,17000,17290
3209,17500,17776
3209,18000,18381
3209,18500,18670
3209,19000,19149
3209,19500,19653
3209,19900,20209
27,200,207
27,300,326
27,400,402
27,500,493
27,600,572
27,700,662
27,800,747
27,900,881
27,1000,935
27,1500,1464
27,2000,1964
27,2500,2391
27,3000,2981
27,3500,3463
27,4000,4004
27,4500,4589
27,5000,5009
27,5500,5517
27,6000,5916
27,6500,6597
27,7000,7053
27,7500,7580
27,8000,8141
27,8500,8627
27,9000,9017
27,9500,9538
27,10000,9999
27,10500,10681
27,11000,11025
27,11500,11602
27,12000,12085
27,12500,12476
27,13000,13149
27,13500,13624
27,14000,14160
27,14500,14712
27,15000,15155
27,15500,15705
27,16000,16168
27,16500,16666
27,17000,17263
27,17500,17763
27,18000,18050
27,18500,18777
27,19000,19277
27,19500,19738
27,19900,20176
947,200,191
947,300,270
947,400,354
947,500,471
947,600,598
947,700,692
947,800,767
947,900,872
947,1000,963
947,1500,1456
947,2000,1976
947,2500,2464
947,3000,2968
947,3500,3478
947,4000,3904
947,4500,4435
947,5000,5138
947,5500,5620
947,6000,5932
947,6500,6591
947,7000,7061
947,7500,7601
947,8000,7980
947,8500,8558
947,9000,9089
947,9500,9712
947,10000,10172
947,10500,10527
947,11000,10912
947,11500,11547
947,12000,12014
947,12500,12571
947,13000,13149
947,13500,13753
947,14000,14375
947,14500,14751
947,15000,15319
947,15500,15608
947,16000,16269
947,16500,16707
947,17000,16996
947,17500,17680
947,18000,18188
947,18500,18643
947,19000,19261
947,19500,19870
947,19900,20246
783,200,215
783,300,309
783,400,411
783,500,466
783,600,566
783,700,701
783,800,817
783,900,896
783,1000,967
783,1500,1439
783,2000,1923
783,2500,2467
783,3000,3046
783,3500,3544
783,4000,3985
783,4500,4612
783,5000,5050
783,5500,5461
783,6000,5958
783,6500,6569
783,7000,7043
783,7500,7583
783,8000,8019
783,8500,8456
783,9000,9153
783,9500,9632
783,10000,10160
783,10500,10741
783,11000,11117
783,11500,11521
783,12000,12219
783,12500,12601
783,13000,13137
783,13500,13853
783,14000,13998
783,14500,14706
783,15000,15078
783,15500,15758
783,16000,16398
783,16500,16759
783,17000,17214
783,17500,17457
783,18000,18302
783,18500,18437
783,19000,19112
783,19500,19763
783,19900,19857
365,200,258
365,300,355
365,400,441
365,500,579
365,600,714
365,700,790
365,800,966
365,900,1085
365,1000,1195
365,1500,1706
365,2000,2224
365,2500,2746
365,3000,3180
365,3500,3639
365,4000,4099
365,4500,4681
365,5000,5229
365,5500,5650
365,6000,6149
365,6500,6654
365,7000,7176
365,7500,7711
365,8000,8169
365,8500,8649
365,9000,9333
365,9500,9921
365,10000,10333
365,10500,10896
365,11000,11549
365,11500,11969
365,12000,12423
365,12500,13084
365,13000,13350
365,13500,13798
365,14000,14476
365,14500,14963
365,15000,15441
365,15500,15741
365,16000,16425
365,16500,16931
365,17000,17138
365,17500,17865
365,18000,18242
365,18500,18765
365,19000,19337
365,19500,19471
365,19900,20242
723,200,226
723,300,351
723,400,453
723,500,558
723,600,719
723,700,812
723,800,905
723,900,1085
723,1000,1199
723,1500,1778
723,2000,2359
723,2500,2811
723,3000,3306
723,3500,3785
723,4000,4291
723,4500,4778
723,5000,5136
723,5500,5599
723,6000,6120
723,6500,6614
723,7000,7069
723,7500,7547
723,8000,8145
723,8500,8462
723,9000,9023
723,9500,9426
723,10000,10005
723,10500,10599
723,11000,10957
723,11500,11613
723,12000,11996
723,12500,12593
723,13000,13112
723,13500,13711
723,14000,14289
723,14500,14596
723,15000,15115
723,15500,15599
723,16000,16136
723,16500,16652
723,17000,16904
723,17500,17582
723,18000,18346
723,18500,18869
723,19000,19247
723,19500,19842
723,19900,20003
12,200,199
12,300,309
12,400,357
12,500,436
12,600,529
12,700,618
12,800,718
12,900,792
12,1000,857
12,1500,1290
12,2000,1787
12,2500,2327
12,3000,2800
12,3500,3399
12,4000,3850
12,4500,4383
12,5000,4963
12,5500,5410
12,6000,5975
12,6500,6553
12,7000,6887
12,7500,7324
12,8000,7967
12,8500,8413
12,9000,8950
12,9500,9460
12,10000,9937
12,10500,10395
12,11000,10930
12,11500,11564
12,12000,12084
12,12500,12604
12,13000,13171
12,13500,13730
12,14000,14233
12,14500,14784
12,15000,15000
