user_id,disagree,total
1,0,4
2,3,48
3,1,4
4,0,4
5,10,169
6,43,781
7,32,526
8,0,4
9,5,102
10,2,30
11,0,4
12,3,78
13,3,23
14,1,4
15,2,39
16,5,21
17,44,788
18,2,17
19,1,4
20,36,602
21,32,565
22,6,155
23,4,67
24,10,182
25,32,572
26,24,391
27,3,41
28,13,147
29,26,595
30,25,433
