userNumber,value
2,0.08873799511732419
3,0.16244273970167253
4,0.061579424758814574
5,0.06533407339971246
6,0.14168167700379078
7,-0.00031145522588157525
8,0.11823089785713412
9,0.19736103191956206
10,0.10407208223091056
11,0.10971132411046268
12,-0.01832718878899799
13,0.13933766048489638
14,0.11046085399287871
15,0.08436107785929932
16,0.07863939444094516
17,0.03235574501813223
18,0.0687372812781
19,0.12087273674684641
20,0.0373986490592137
21,0.1465402575764921
22,0.13327145328008808
23,0.15015773620628314
24,0.18967810876123417
25,0.07450633800821066
26,0.1021397776634209
27,0.131594732683512
28,0.06613419795192914
29,0.09888393515038031
30,0.21246695030990545
31,0.160917883096835
32,0.16303880584118274
33,0.1759198248528299
34,0.14315122830933405
35,0.16639157679202954
36,0.08583844758025028
37,0.06969864289799914
38,0.13459293134272357
39,0.10193701222726487
40,0.08966614601453526
41,0.0644759015747269
42,0.1481397225704706
43,0.11592740923842564
44,0.14918472268969493
45,-0.007465860353677485
46,0.1456023460406217
47,9.9999980772987
48,0.17806226995244712
49,0.12619023880830404
50,0.04827834558870045
51,9.99999804792611
52,0.11703373496663179
53,0.03173709455344542
54,0.05536161855578649
55,0.12859701211957653
56,0.056891348170681616
57,0.10695944938595225
58,0.02786375811034728
59,9.999998592103678
60,0.13954218445106123
61,0.06303431631465498
62,0.147551332575539
63,0.07296931645262446
64,0.3016206000174685
65,0.11697564651271668
66,0.08813028897444079
67,0.03571703660874027
68,0.09985198173170613
69,0.07348064725578733
70,0.10494169077712097
71,0.036991149929962594
72,0.15146095456652983
73,0.10636789449716258
74,0.09347245704131699
75,0.05129112614879746
76,0.1077223667103044
77,0.1483582991183361
78,0.11628171884030748
79,0.0988176092649898
80,0.07989738383090095
81,0.15155812976678334
82,0.012875811936435971
83,0.19190222547109803
84,0.20821286545039835
85,0.08585955630958482
86,0.02220151200174677
87,0.22164543389395694
88,0.1219894459692908
89,0.12265030549135601
90,0.08287170300557116
91,0.08824581352904667
92,0.21555562828718758
93,0.09986546492652038
94,-0.00420753906710329
95,0.13140209914300058
96,0.016094604406566872
97,0.09587922426708724
98,9.999993350697219
99,0.08757684082237033
100,0.16303575576811327
101,0.13203195900670936
102,0.11391602159703841
103,0.19976746342457777
104,0.1330587077027616
105,0.17000363957408515
106,0.07947375486913688
107,0.11737603211500981
108,0.20197359165318804
109,0.11479745173618522
110,0.12197188175229756
111,0.08679489762570723
112,0.15363545365438155
113,0.15698689261660823
114,0.045864313912720625
115,0.149616511091411
116,9.999994195992294
117,0.12115104892459119
118,0.07375484871473038
119,0.039499159051578414
120,0.106079709981743
121,0.03459245049548368
122,0.24904561568933212
