userNumber,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
2,0.7535833199991994,0.8217327357350084,0.6641664571406483,0.8397094309985336,0.5787669672602812,0.008384322833104526,1.0000000096530248,0.8553274203459028,0.7502143019092576,0.9675164824068891,0.782606843795157,0.43118297324787175,0.5330865362103336,0.7284622237249966,0.5922467908959421,0.9827854403360956,0.9292025159028802,0.18662241533790733,0.6426721783022086,0.9316406403944009,1.0000000095292108,0.9435277251016745,0.24555549139432145,0.6834830433017064,0.4492173425269831,0.6939387057468782,0.6863487052041276,0.8204178828929315,1.0000000096771091,0.5419753639332805,0.4534883630333379
3,0.9999999474203083,0.35418792834509505,0.9999999956700905,0.7996394766542274,0.5049415736423929,0.9999999784917334,0.9999999884138948,0.9999997630962081,0.9999999969203225,0.4548410170287584,0.9999999879963254,0.9999999875931181,0.9999999938242966,0.9999999800335432,0.9999999771681732,0.9999999429513299,0.7857142821646227,0.40274133055056255,0.9999999712151721,0.5250109742685958,0.9999999649908561,0.999999956743935,0.32864335923037297,0.6945918628990849,0.12540936270241465,0.6293512717176605,0.4847304002099898,0.8691124361235273,0.9999999948105915,0.9999999989304077,0.9999999644320348
4,0.5955544252395562,0.5219572912730027,0.401077433315205,0.4692017125657988,1.0000000025840137,0.47885397416285896,0.7534873152984715,0.8591204223307625,0.7953896398002369,0.9999998821102315,0.7981685099871824,0.840103380048248,0.9229789439539611,0.45186897460123315,0.999999939420112,0.37632231708885344,0.6384220455814511,0.1785486623743002,0.8503419431358736,0.49254956023071494,0.7684909100820321,0.8398959563668006,0.7623982083010163,0.3768254474360499,0.28754158792602175,0.7758753355075519,1.0000000026659355,0.8641528953771808,0.9162123416660866,0.5817308187037891,0.8343247270225038
5,0.39882292021835175,,0.9999999645454581,0.9999999730014144,0.5000000009009601,0.9999998731171257,,,0.9999999645454581,8.090907529038245e-8,0.999999956950114,0.9999999179040097,0.6075432817779255,2.547141768047879e-8,0.6424248952430589,0.5000000002567286,3.545454177685985e-8,0.5,0.9999999190904524,0.3109988851704985,,0.9999999570596958,0.5,0.999999935702804,,3.5454541841461355e-8,,8.090907528925911e-8,0.9999999190909216,8.090907528925911e-8,8.313391143687883e-8
6,0.8682412813191827,1.0000000008815695,0.9003702472366502,0.06685772215449023,0.9999999956146073,0.12897405393570915,1.0000000035620804,1.0000000041726265,1.0000000005569558,0.999999990222732,0.8878366958931415,0.9999999184735797,0.6804280795185697,1.0000000004935456,0.4262650903383567,0.33209909801761095,0.860784744365022,0.14262496053364748,0.873432467116266,0.45036842170543967,0.9999999916452817,0.8635459281195447,0.4774223721725494,0.9999999973654141,0.9999999990285996,0.9513387360217475,0.554412735931123,0.776798398277363,0.9999999948505706,0.49998950692229466,0.9300958695853698
7,0.39882292021835175,,0.5,9.64545776906451e-8,3.5454541817812585e-8,0.9999998731171257,,,0.5000000014591055,0.9999999190909247,4.3049885909252717e-8,8.209599028082528e-8,2.4096629851378185e-8,0.5886784779843848,4.184384852675021e-8,3.5454541791467505e-8,3.545454177685986e-8,0.5,0.9999999190904524,0.3109988851704985,,0.9999999570596958,0.5,0.999999935702804,,3.5454541841461355e-8,,0.9999999190909247,8.090907842649262e-8,8.090907528925911e-8,8.313391143687883e-8
8,0.9999999868343142,8.432343771444117e-8,0.9999999600709881,0.6167019627359023,0.9999999645454579,2.0621470916264928e-8,0.9999999918179717,0.5070228538705588,0.9999999839766014,0.9999999854455028,0.8382895911656836,0.5454482709008058,0.7999999890909102,0.99999998551128,0.9999999573246998,0.5185865479414162,0.8172308924623294,0.25000001136363526,0.8592877231959105,0.9999999992310656,0.8048192503903514,0.7376779544759786,0.28052410471968053,0.7887014512749131,0.999999996534119,0.7742921692932433,0.9999999924081304,0.99999999466468,0.9999999981491396,0.8551885501942991,0.6138606823212542
9,2.8364865807028643e-8,,0.9999999870591747,0.43994959035001485,0.3333333437346624,0.9999998869578989,3.545454177685985e-8,0.6489224573533287,0.3347347215488832,0.9999999645454581,0.9999999906097596,0.9999999202331026,0.9999999905176126,0.40132567024250254,0.363416429831631,0.9999999988925207,0.9999999796969712,0.9999999645454581,0.9999999190904524,0.6384722822331114,0.9999999794432274,0.9999999832941271,0.5,0.9999999834421047,0.7919021933831436,0.5243005510044941,0.9999999773685722,0.9999999947204488,0.9999999796958831,8.090907528925911e-8,0.67906815003536
10,0.5846736518690375,0.6180320206786226,0.8337407395559481,0.6794943281998841,0.7851314387881105,0.13111387276945763,0.9816145209092617,0.5166854598240758,0.6373684961010619,0.7184207743728561,0.8467278324423296,0.9140877912096735,0.6694098360744886,0.649682519068066,0.5941621013850765,0.9241258282887339,0.7980346296846605,0.6151036173975668,0.8116695882244682,0.7646107302770339,0.9386461705247112,0.9077235497893175,0.7007621520106853,0.2664503598875822,0.415978397091695,0.47724833528460786,0.857220576675403,0.6240083012492825,1.000000009208658,0.799051927403375,0.8644082449656845
11,0.9999999983730554,0.9478264654506222,0.6013842191486433,0.6810443528971668,0.7926847885790363,0.46084455516079476,1.0000000053892248,0.3312963599679342,0.7566416622325133,0.7444929561405631,0.7934634601448621,0.9598027261384559,1.000000001777541,0.5621285058661698,0.8306199994127227,0.6206089667831405,0.24943162765787244,0.633667021698012,0.666688552867488,0.9243818756432298,1.0000000054821354,0.9999999914084624,0.9117251690155186,0.7965321696295541,0.6864646363903579,0.46707080420168623,0.7360922908292761,0.8901804510408151,1.0000000077237534,0.28638154234416824,0.704241393787869
