name,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
Arvo-BoldItalic,30.82143837557076,-29.169369240803242,81.62155136386497,-27.698204442530834,56.5320857133388,1.6833644731801707,74.06243915022118,45.969993359374904,-12.575858052390533,6.65029544612117,-1.2198080776307454,-36.93561718230544,-19.442074095427753,-23.168333535758656,32.28462528124552,22.530894817951054,63.78193271213881,-40.485431567924564,2.8649682561620353,5.338595863154439,52.60400216371345,-2.5767708388110995,-58.24056948192241,0.30924270282010047,-82.19841353131702,5.405316978841058,0.48785788959471205,-4.667260376256145,-10.88294948420834,26.449067402311137,-25.62880334789352
AnonymousPro,-24.857290941451076,-30.57506780030218,-40.11664555673425,23.15552722144258,-44.69921711794816,-3.294672561584937,-29.611802264491235,-64.0696461449833,-15.94356292376553,-1.3963549449777892,-4.309666755830138,6.080603482135403,65.83526158555222,-75.370613388797,35.68442522544206,-20.926389050084968,-70.12924746768282,20.79303991264424,-39.2757223826521,12.307600117999774,1.5950720190101078,-5.456421752370201,42.28517694500303,-4.318548763182396,61.206014483029364,-49.29687785933267,-0.23215790345116263,-15.129552480883577,40.03114957509939,26.935860881981387,8.24270925780318
GFSDidot-Regular,-24.16284092176433,-35.04729750442431,-17.104673778225674,6.49972068224001,-16.241991363995755,-3.728698620054052,-27.37343445445309,-64.67943533453996,-15.100699518380722,0.07466205327475688,-5.041808105445459,7.272045999752765,99.45426295788775,-20.025142987541695,36.389351488203104,-19.383206635555766,-26.892123211985368,27.090877698110596,4.209872896235391,13.000364289068564,2.8060457584881853,-6.518592851820065,76.00878356697655,-11.156689907529572,31.404639024860117,-48.09977560903686,-5.0244308993530336,-15.777248065040641,20.389210086979872,39.86815287411219,4.562947981218475
Ubuntu-Italic,-21.432209734628696,-30.96145513088452,-12.2338829812036,-17.296097111902885,37.487410252201926,2.5936241601517462,-27.972995351570507,1.8505656854145223,-12.63109796198297,2.576448629084756,-3.6448250024816264,6.989709784130366,68.31393819167918,14.447492570369544,34.41984846073129,44.245252435658145,13.882336297650923,32.776074194392756,2.5265045124725365,8.03209622904127,0.9805736746198407,18.555798901773006,44.492801861058034,-5.231981451272836,-59.47045014950863,-45.2400406788398,-1.721473661166763,-12.227358592449473,16.411964537010054,54.61999654069138,0.8011241336127581
Damion,32.107021034307294,50.128479354970445,38.76588885037673,-20.551391001888934,0.17112174461930815,24.156439259326948,-27.416379245048926,42.34866757769651,59.66603916246898,2.9426413157886566,2.5326576977555364,5.480847686444648,-58.88388371039848,50.35842644452527,-63.751529258235486,24.771659966946313,-21.368368953069073,21.547380510169624,24.90594230578639,-17.630225553869423,-45.6435959294392,-0.9643079434789376,-15.494773303665506,25.225534693900684,-70.58223954145086,79.6139269574902,0.08552666989235956,63.48134953166775,16.760456228294423,-29.393758279101057,6.75407951766477
RacingSansOne-Regular,13.564655802512464,-30.205910156279945,20.727445842524716,-61.324205966088066,83.09540269788229,0.43835636476333467,92.82843817887382,41.17249424681349,-10.747679507709314,4.588514284446869,-1.1757295633640634,0.9044353984858907,33.714277147902536,14.243858563002904,34.175002445096275,22.48511116185767,94.2966167220217,-64.43543443876159,5.067256373177477,6.130113683164107,33.77045581331465,-3.9357962398930293,-76.29612772063943,1.9169156623580477,-55.85915769140987,60.41716989578891,2.6055128748373875,-12.807127625774346,-32.54264623916419,15.736994405201552,-24.606726700415418
SourceCodePro-Light,-23.109526022752974,-30.46343175316871,-19.18330052088124,6.583811021598013,-68.31080389257995,-1.865672288229005,-36.66259480878056,-88.7055352285729,-15.28180380354501,-61.40307444133499,-3.652592011940749,8.68574930219017,-83.55729818987915,-99.9949218561904,-43.237277635989095,-20.16816778331309,-49.59590897245385,68.42363918806535,-56.60048470793118,9.45314969303915,54.75306450002524,-2.9735790613789743,74.68370629309122,-4.072596593658658,32.04304907143368,-43.99546201787649,4.851959632147389,-14.95762117824703,78.47378103111078,-54.28143595778002,9.926177036059773
Buenard-Bold,-22.195044069655456,-29.920087516919835,-66.19922846092153,-22.29191651593611,-45.18681819658117,-4.610723350198899,-1.112267649574951,37.68981786199935,-10.553604179735231,4.162231581354799,-3.2385455913467807,3.8043534234134317,33.440614443260095,75.53370639871969,35.756711500027194,-19.159124705458268,20.30794796951664,20.190513753300344,21.94424726006985,9.01071612858959,0.05018919276594611,-6.376326152662219,-64.36107345015591,-5.322335419840169,34.75055547472281,29.762524244942973,-41.57705736672299,-14.56756111493335,-16.17450772583731,73.18941595433394,-2.194339706854316
PlayfairDisplay-Italic,29.785995523142496,16.12867941095119,4.750851728323829,-17.31164852561409,83.73407990064828,1.229256049548082,-27.35638129456863,39.78047312682426,12.312455811447412,3.5884832391000385,1.1807389054093034,7.108966505714384,-56.74769685258972,75.20374181782663,-31.299546663850954,21.78216057297598,-43.355914486339636,62.67207957244984,61.1051504373677,4.521474035545601,-1.6544481083770275,-4.345067047350663,9.955263942876527,2.0466315114140747,-42.882699005704836,29.979734941647042,-2.2932689937563984,42.27060283808374,20.64295226641385,-50.01910452343359,0.8783778704053641
GentiumBasic,-22.649312649859624,-32.88654628495939,-84.85488040008818,-15.426175203383503,-66.01165826714694,-2.3357784841973084,-31.37273141136123,-65.53351508169858,-15.331864422804223,-20.869896992160125,-4.821275430851315,8.83277330304564,69.03796666955698,-36.54496220677806,36.55032595426564,-20.055497638267195,-23.03148870647803,42.250886958726916,-51.65766535144977,10.88140141315409,-3.2792056827804146,-6.416863342793741,75.68243140286641,-4.080242783303591,99.153620937328,-46.992877617867784,-27.147808081707822,-34.40133092040878,25.628139372428276,7.0684428930517615,6.919137176390941
Kenia-Regular,17.244440170904515,15.596940889207083,67.42551964409226,-19.761635089526195,-43.91606289176045,-1.9752926790560108,-23.510559272997725,42.85479873676211,77.4098052703095,3.2442392754475695,1.314929957348575,-41.11003066590608,-58.86798098735438,-39.427166593120255,-65.05335381408337,-20.516452852983722,38.74140013891321,-26.115848666072207,18.123030152139677,-17.09572519385235,-3.232771734907266,18.997962616235384,-73.13180333665751,22.403036826160463,-85.53831810687191,62.1563186626155,26.02976679157248,42.818872711130695,-11.936909311172526,-96.433757977515,-43.7757308433015
