seed,count,less_count
103,200,342
103,300,551
103,400,726
103,500,953
103,600,1078
103,700,1300
103,800,1384
103,900,1563
103,1000,1688
103,1500,2453
103,2000,3253
103,2500,3865
103,3000,4728
103,3500,5567
103,4000,6306
103,4500,7034
103,5000,7711
103,5500,8501
103,6000,9066
103,6500,9933
103,7000,10868
103,7500,11562
103,8000,12361
103,8500,13119
103,9000,13938
103,9500,14520
103,10000,15377
103,10500,15927
103,11000,16574
103,11500,17479
103,12000,18339
103,12500,19169
103,13000,20017
103,13500,20573
103,14000,21352
103,14500,22136
103,15000,23028
103,15500,23774
103,16000,24201
103,16500,25118
103,17000,25756
103,17500,26749
103,18000,27335
103,18500,28037
103,19000,28715
103,19500,29524
103,19900,30202
117,200,306
117,300,474
117,400,612
117,500,785
117,600,938
117,700,1085
117,800,1198
117,900,1294
117,1000,1489
117,1500,2241
117,2000,3022
117,2500,3704
117,3000,4446
117,3500,5336
117,4000,5922
117,4500,6683
117,5000,7522
117,5500,8221
117,6000,9171
117,6500,9801
117,7000,10529
117,7500,11384
117,8000,12047
117,8500,12746
117,9000,13614
117,9500,14480
117,10000,15040
117,10500,15824
117,11000,16483
117,11500,17377
117,12000,18107
117,12500,18910
117,13000,19843
117,13500,20404
117,14000,21232
117,14500,22189
117,15000,22767
117,15500,23701
117,16000,24308
117,16500,25232
117,17000,25777
117,17500,26846
117,18000,27220
117,18500,27892
117,19000,28713
117,19500,29572
117,19900,30249
236,200,310
236,300,440
236,400,577
236,500,787
236,600,887
236,700,1025
236,800,1188
236,900,1342
236,1000,1463
236,1500,2268
236,2000,3006
236,2500,3730
236,3000,4665
236,3500,5422
236,4000,6242
236,4500,6851
236,5000,7635
236,5500,8406
236,6000,9219
236,6500,9791
236,7000,10478
236,7500,11447
236,8000,12187
236,8500,12800
236,9000,13794
236,9500,14604
236,10000,15408
236,10500,15968
236,11000,16846
236,11500,17772
236,12000,18483
236,12500,19178
236,13000,20033
236,13500,20757
236,14000,21257
236,14500,21990
236,15000,22728
236,15500,23739
236,16000,24303
236,16500,25092
236,17000,26060
236,17500,26690
236,18000,27575
236,18500,28331
236,19000,29014
236,19500,29687
236,19900,30133
763,200,392
763,300,504
763,400,655
763,500,792
763,600,941
763,700,1136
763,800,1254
763,900,1419
763,1000,1564
763,1500,2195
763,2000,2942
763,2500,3764
763,3000,4556
763,3500,5341
763,4000,5937
763,4500,6857
763,5000,7669
763,5500,8384
763,6000,8994
763,6500,10015
763,7000,10667
763,7500,11524
763,8000,12293
763,8500,13181
763,9000,13940
763,9500,14671
763,10000,15244
763,10500,16056
763,11000,17003
763,11500,17606
763,12000,18402
763,12500,19214
763,13000,20035
763,13500,20783
763,14000,21091
763,14500,22150
763,15000,22660
763,15500,23553
763,16000,24234
763,16500,25147
763,17000,25832
763,17500,26491
763,18000,27291
763,18500,28029
763,19000,28961
763,19500,29538
763,19900,30296
375,200,298
375,300,456
375,400,630
375,500,751
375,600,866
375,700,1028
375,800,1169
375,900,1372
375,1000,1459
375,1500,2335
375,2000,3182
375,2500,3926
375,3000,4674
375,3500,5448
375,4000,6252
375,4500,7104
375,5000,7890
375,5500,8528
375,6000,9256
375,6500,10043
375,7000,10864
375,7500,11755
375,8000,12456
375,8500,13005
375,9000,13810
375,9500,14423
375,10000,15290
375,10500,16124
375,11000,16666
375,11500,17779
375,12000,18280
375,12500,18736
375,13000,19645
375,13500,20573
375,14000,21472
375,14500,21977
375,15000,23099
375,15500,23812
375,16000,24652
375,16500,25363
375,17000,26006
375,17500,27076
375,18000,27535
375,18500,28389
375,19000,28941
375,19500,29750
375,19900,30214
167,200,272
167,300,452
167,400,610
167,500,714
167,600,827
167,700,937
167,800,1111
167,900,1253
167,1000,1368
167,1500,2129
167,2000,3003
167,2500,3773
167,3000,4485
167,3500,5172
167,4000,6125
167,4500,6830
167,5000,7559
167,5500,8292
167,6000,9163
167,6500,9902
167,7000,10652
167,7500,11475
167,8000,12294
167,8500,12870
167,9000,13649
167,9500,14491
167,10000,14950
167,10500,15885
167,11000,16697
167,11500,17344
167,12000,18350
167,12500,19007
167,13000,19786
167,13500,20374
167,14000,21034
167,14500,21890
167,15000,22736
167,15500,23498
167,16000,24049
167,16500,24656
167,17000,25447
167,17500,26646
167,18000,27383
167,18500,28133
167,19000,28897
167,19500,29393
167,19900,30035
192,200,289
192,300,455
192,400,566
192,500,673
192,600,848
192,700,973
192,800,1122
192,900,1289
192,1000,1426
192,1500,2073
192,2000,2792
192,2500,3408
192,3000,4300
192,3500,5062
192,4000,5884
192,4500,6614
192,5000,7290
192,5500,8078
192,6000,8927
192,6500,9713
192,7000,10345
192,7500,11259
192,8000,12037
192,8500,12818
192,9000,13523
192,9500,14441
192,10000,15383
192,10500,15985
192,11000,16557
192,11500,17163
192,12000,18052
192,12500,18580
192,13000,19358
192,13500,20161
192,14000,21091
192,14500,22008
192,15000,22715
192,15500,23450
192,16000,24544
192,16500,25171
192,17000,25750
192,17500,26585
192,18000,27225
192,18500,28137
192,19000,28913
192,19500,29424
192,19900,30204
3209,200,312
3209,300,506
3209,400,680
3209,500,815
3209,600,989
3209,700,1179
3209,800,1342
3209,900,1561
3209,1000,1690
3209,1500,2471
3209,2000,3225
3209,2500,4003
3209,3000,4828
3209,3500,5450
3209,4000,6230
3209,4500,6992
3209,5000,7808
3209,5500,8558
3209,6000,9323
3209,6500,9980
3209,7000,10597
3209,7500,11558
3209,8000,12211
3209,8500,13002
3209,9000,13859
3209,9500,14566
3209,10000,15183
3209,10500,16118
3209,11000,16798
3209,11500,17538
3209,12000,18331
3209,12500,18930
3209,13000,19639
3209,13500,20625
3209,14000,21019
3209,14500,22139
3209,15000,23024
3209,15500,23735
3209,16000,24318
3209,16500,25282
3209,17000,25875
3209,17500,26627
3209,18000,27337
3209,18500,27920
3209,19000,28713
3209,19500,29556
3209,19900,30226
27,200,325
27,300,490
27,400,618
27,500,716
27,600,838
27,700,992
27,800,1098
27,900,1320
27,1000,1403
27,1500,2204
27,2000,2970
27,2500,3555
27,3000,4477
27,3500,5146
27,4000,6042
27,4500,6839
27,5000,7514
27,5500,8267
27,6000,8917
27,6500,9775
27,7000,10597
27,7500,11374
27,8000,12217
27,8500,12782
27,9000,13553
27,9500,14325
27,10000,15052
27,10500,15908
27,11000,16631
27,11500,17569
27,12000,18074
27,12500,18818
27,13000,19675
27,13500,20511
27,14000,21194
27,14500,22094
27,15000,22607
27,15500,23503
27,16000,24230
27,16500,25092
27,17000,25893
27,17500,26635
27,18000,27163
27,18500,28135
27,19000,28979
27,19500,29573
27,19900,30313
947,200,276
947,300,393
947,400,541
947,500,696
947,600,859
947,700,1023
947,800,1150
947,900,1299
947,1000,1473
947,1500,2235
947,2000,2955
947,2500,3693
947,3000,4425
947,3500,5147
947,4000,5918
947,4500,6731
947,5000,7725
947,5500,8443
947,6000,8925
947,6500,9907
947,7000,10571
947,7500,11445
947,8000,12049
947,8500,12948
947,9000,13548
947,9500,14517
947,10000,15126
947,10500,15723
947,11000,16298
947,11500,17180
947,12000,18210
947,12500,18842
947,13000,19695
947,13500,20575
947,14000,21630
947,14500,22118
947,15000,22878
947,15500,23372
947,16000,24395
947,16500,25107
947,17000,25701
947,17500,26542
947,18000,27331
947,18500,28139
947,19000,28944
947,19500,29667
947,19900,30415
783,200,312
783,300,442
783,400,628
783,500,705
783,600,828
783,700,1022
783,800,1221
783,900,1312
783,1000,1460
783,1500,2162
783,2000,2937
783,2500,3709
783,3000,4522
783,3500,5266
783,4000,6025
783,4500,6920
783,5000,7591
783,5500,8247
783,6000,9100
783,6500,9850
783,7000,10518
783,7500,11348
783,8000,12006
783,8500,12708
783,9000,13794
783,9500,14460
783,10000,15192
783,10500,16005
783,11000,16720
783,11500,17178
783,12000,18281
783,12500,18916
783,13000,19813
783,13500,20768
783,14000,21041
783,14500,21968
783,15000,22696
783,15500,23752
783,16000,24532
783,16500,25103
783,17000,25747
783,17500,26263
783,18000,27275
783,18500,27830
783,19000,28621
783,19500,29643
783,19900,29831
365,200,371
365,300,516
365,400,662
365,500,873
365,600,1085
365,700,1205
365,800,1474
365,900,1608
365,1000,1779
365,1500,2518
365,2000,3310
365,2500,4097
365,3000,4755
365,3500,5387
365,4000,6144
365,4500,6964
365,5000,7769
365,5500,8453
365,6000,9161
365,6500,9909
365,7000,10764
365,7500,11507
365,8000,12195
365,8500,12970
365,9000,13937
365,9500,14821
365,10000,15451
365,10500,16297
365,11000,17229
365,11500,17954
365,12000,18517
365,12500,19465
365,13000,20008
365,13500,20573
365,14000,21660
365,14500,22292
365,15000,23065
365,15500,23671
365,16000,24590
365,16500,25338
365,17000,25731
365,17500,26675
365,18000,27305
365,18500,28063
365,19000,28777
365,19500,29140
365,19900,30302
723,200,353
723,300,523
723,400,664
723,500,836
723,600,1052
723,700,1210
723,800,1368
723,900,1582
723,1000,1803
723,1500,2647
723,2000,3512
723,2500,4225
723,3000,4984
723,3500,5621
723,4000,6347
723,4500,7081
723,5000,7650
723,5500,8313
723,6000,9109
723,6500,9864
723,7000,10617
723,7500,11364
723,8000,12219
723,8500,12693
723,9000,13600
723,9500,14254
723,10000,15203
723,10500,15914
723,11000,16571
723,11500,17427
723,12000,18073
723,12500,18953
723,13000,19703
723,13500,20529
723,14000,21284
723,14500,21842
723,15000,22682
723,15500,23376
723,16000,24213
723,16500,24966
723,17000,25397
723,17500,26306
723,18000,27333
723,18500,28189
723,19000,28826
723,19500,29681
723,19900,30053
12,200,280
12,300,454
12,400,529
12,500,646
12,600,808
12,700,914
12,800,1052
12,900,1185
12,1000,1264
12,1500,1994
12,2000,2693
12,2500,3550
12,3000,4195
12,3500,5111
12,4000,5801
12,4500,6570
12,5000,7446
12,5500,8084
12,6000,8847
12,6500,9785
12,7000,10347
12,7500,11026
12,8000,11971
12,8500,12636
12,9000,13451
12,9500,14158
12,10000,14829
12,10500,15767
12,11000,16443
12,11500,17393
12,12000,18214
12,12500,18845
12,13000,19782
12,13500,20670
12,14000,21427
12,14500,22102
12,15000,22571
12,15500,23654
12,16000,24127
12,16500,25187
12,17000,25971
12,17500,26520
12,18000,27486
12,18500,28169
12,19000,28888
12,19500,29650
12,19900,30250
823,200,278
823,300,457
823,400,629
823,500,782
823,600,906
823,700,1154
823,800,1318
823,900,1437
823,1000,1642
823,1500,2370
823,2000,3101
823,2500,3782
823,3000,4866
823,3500,5519
823,4000,6327
823,4500,7189
823,5000,7731
823,5500,8583
823,6000,9247
823,6500,9992
823,7000,10768
823,7500,11434
823,8000,12456
823,8500,13152
823,9000,13902
823,9500,14576
823,10000,15313
823,10500,16101
823,11000,16774
823,11500,17413
823,12000,18433
823,12500,18956
823,13000,19851
823,13500,20722
823,14000,21316
823,14500,21871
823,15000,22928
823,15500,23678
823,16000,24528
823,16500,25238
823,17000,26030
823,17500,26758
823,18000,27656
823,18500,28289
823,19000,28637
823,19500,29642
823,19900,30056
713,200,265
713,300,431
713,400,494
713,500,624
713,600,776
713,700,977
713,800,1149
713,900,1307
713,1000,1449
713,1500,2276
713,2000,3016
713,2500,3656
713,3000,4428
713,3500,5150
713,4000,5948
713,4500,6718
713,5000,7307
713,5500,8030
713,6000,8970
713,6500,9699
713,7000,10547
713,7500,11288
713,8000,12045
713,8500,12848
713,9000,13678
713,9500,14344
713,10000,14794
713,10500,15709
713,11000,16216
713,11500,16916
713,12000,17627
713,12500,18369
713,13000,19255
713,13500,20390
713,14000,20933
713,14500,21751
713,15000,22513
713,15500,23168
713,16000,23780
713,16500,24765
713,17000,25439
713,17500,26061
713,18000,26852
713,18500,27826
713,19000,28690
713,19500,29379
713,19900,29777
832,200,231
832,300,375
832,400,542
832,500,720
832,600,853
832,700,1080
832,800,1236
832,900,1381
832,1000,1504
832,1500,2279
832,2000,3014
832,2500,3878
832,3000,4529
832,3500,5349
832,4000,6229
832,4500,6861
832,5000,7686
832,5500,8358
832,6000,9120
832,6500,9719
832,7000,10594
832,7500,11431
832,8000,12404
832,8500,12950
832,9000,13810
832,9500,14557
832,10000,15504
832,10500,15898
832,11000,16896
832,11500,17798
832,12000,18497
832,12500,19270
832,13000,19722
832,13500,20495
832,14000,21133
832,14500,21973
832,15000,22938
832,15500,23419
832,16000,24383
832,16500,25002
832,17000,26017
832,17500,26642
832,18000,27223
832,18500,28148
832,19000,28954
832,19500,29865
832,19900,30095
512,200,297
512,300,473
512,400,651
512,500,820
512,600,975
512,700,1073
512,800,1220
512,900,1395
512,1000,1580
512,1500,2282
512,2000,2917
512,2500,3621
512,3000,4360
512,3500,4882
512,4000,5671
512,4500,6470
512,5000,7126
512,5500,7886
512,6000,8842
512,6500,9626
512,7000,10418
512,7500,11166
512,8000,11972
512,8500,12715
512,9000,13587
512,9500,14473
512,10000,14995
512,10500,16041
512,11000,16730
512,11500,17676
512,12000,18306
512,12500,19143
512,13000,19833
512,13500,20528
512,14000,21133
512,14500,22207
512,15000,22584
512,15500,23372
512,16000,23992
512,16500,25027
512,17000,25716
512,17500,26781
512,18000,27265
512,18500,28332
