user_id,disagree,total
1,40,800
2,47,800
3,46,800
4,41,800
5,46,800
6,46,800
7,50,800
8,42,800
9,47,800
10,54,800
11,52,800
12,54,800
13,48,800
14,48,800
15,45,800
16,50,800
17,48,800
18,54,800
19,48,800
20,42,800
21,50,800
22,48,800
23,57,800
24,46,800
