seed,count,less_count
3209,14000,7062
3209,14500,7389
3209,15000,7628
3209,15500,8012
3209,16000,8166
3209,16500,8354
3209,17000,8669
3209,17500,8986
3209,18000,9142
3209,18500,9339
3209,19000,9601
3209,19500,9797
3209,19900,10156
27,200,94
27,300,156
27,400,200
27,500,242
27,600,291
27,700,332
27,800,388
27,900,448
27,1000,472
27,1500,726
27,2000,974
27,2500,1188
27,3000,1476
27,3500,1695
27,4000,1993
27,4500,2337
27,5000,2546
27,5500,2775
27,6000,2987
27,6500,3369
27,7000,3559
27,7500,3786
27,8000,4068
27,8500,4279
27,9000,4511
27,9500,4815
27,10000,4978
27,10500,5354
27,11000,5549
27,11500,5824
27,12000,6034
27,12500,6278
27,13000,6592
27,13500,6802
27,14000,7087
27,14500,7369
27,15000,7524
27,15500,7826
27,16000,8014
27,16500,8283
27,17000,8761
27,17500,8906
27,18000,9014
27,18500,9375
27,19000,9647
27,19500,9922
27,19900,10123
947,200,108
947,300,139
947,400,179
947,500,239
947,600,308
947,700,363
947,800,389
947,900,452
947,1000,487
947,1500,747
947,2000,983
947,2500,1209
947,3000,1439
947,3500,1718
947,4000,2004
947,4500,2221
947,5000,2591
947,5500,2817
947,6000,2986
947,6500,3272
947,7000,3573
947,7500,3730
947,8000,3949
947,8500,4270
947,9000,4499
947,9500,4788
947,10000,5121
947,10500,5254
947,11000,5365
947,11500,5781
947,12000,6026
947,12500,6290
947,13000,6520
947,13500,6752
947,14000,7146
947,14500,7332
947,15000,7652
947,15500,7764
947,16000,8114
947,16500,8335
947,17000,8408
947,17500,8896
947,18000,9073
947,18500,9288
947,19000,9578
947,19500,9888
947,19900,10125
783,200,103
783,300,155
783,400,214
783,500,250
783,600,308
783,700,370
783,800,404
783,900,456
783,1000,494
783,1500,725
783,2000,986
783,2500,1245
783,3000,1495
783,3500,1813
783,4000,1995
783,4500,2297
783,5000,2534
783,5500,2741
783,6000,2966
783,6500,3287
783,7000,3478
783,7500,3775
783,8000,3989
783,8500,4193
783,9000,4544
783,9500,4831
783,10000,5102
783,10500,5356
783,11000,5505
783,11500,5796
783,12000,6149
783,12500,6312
783,13000,6564
783,13500,6942
783,14000,7063
783,14500,7378
783,15000,7661
783,15500,7766
783,16000,8116
783,16500,8307
783,17000,8565
783,17500,8774
783,18000,9094
783,18500,9245
783,19000,9474
783,19500,10017
783,19900,9909
365,200,124
365,300,188
365,400,224
365,500,288
365,600,339
365,700,366
365,800,465
365,900,540
365,1000,604
365,1500,845
365,2000,1127
365,2500,1380
365,3000,1610
365,3500,1809
365,4000,2087
365,4500,2393
365,5000,2645
365,5500,2840
365,6000,3135
365,6500,3447
365,7000,3691
365,7500,3929
365,8000,4112
365,8500,4329
365,9000,4710
365,9500,5036
365,10000,5290
365,10500,5555
365,11000,5821
365,11500,6035
365,12000,6247
365,12500,6586
365,13000,6765
365,13500,6951
365,14000,7279
365,14500,7623
365,15000,7732
365,15500,7960
365,16000,8309
365,16500,8562
365,17000,8616
365,17500,9069
365,18000,9181
365,18500,9469
365,19000,9751
365,19500,9770
365,19900,10154
723,200,116
723,300,165
723,400,212
723,500,281
723,600,376
723,700,442
723,800,468
723,900,569
723,1000,590
723,1500,903
723,2000,1191
723,2500,1407
723,3000,1659
723,3500,1909
723,4000,2187
723,4500,2407
723,5000,2558
723,5500,2793
723,6000,3075
723,6500,3273
723,7000,3520
723,7500,3798
723,8000,4164
723,8500,4327
723,9000,4616
723,9500,4722
723,10000,5044
723,10500,5380
723,11000,5495
723,11500,5763
723,12000,6000
723,12500,6229
723,13000,6565
723,13500,6883
723,14000,7075
723,14500,7340
723,15000,7487
723,15500,7745
723,16000,8085
723,16500,8308
723,17000,8398
723,17500,8726
723,18000,9153
723,18500,9460
723,19000,9555
723,19500,9964
723,19900,10089
12,200,99
12,300,148
12,400,185
12,500,224
12,600,282
12,700,320
12,800,363
12,900,404
12,1000,419
12,1500,633
12,2000,895
12,2500,1156
12,3000,1349
12,3500,1665
12,4000,1940
12,4500,2191
12,5000,2460
12,5500,2743
12,6000,2974
12,6500,3231
12,7000,3469
12,7500,3687
12,8000,4085
12,8500,4193
12,9000,4494
12,9500,4655
12,10000,4968
12,10500,5206
