seed,count,less_count
103,200,465
103,300,741
103,400,970
103,500,1263
103,600,1446
103,700,1708
103,800,1848
103,900,2084
103,1000,2272
103,1500,3270
103,2000,4313
103,2500,5140
103,3000,6308
103,3500,7443
103,4000,8455
103,4500,9378
103,5000,10314
103,5500,11336
103,6000,12214
103,6500,13268
103,7000,14546
103,7500,15459
103,8000,16487
103,8500,17468
103,9000,18539
103,9500,19352
103,10000,20430
103,10500,21196
103,11000,22174
103,11500,23398
103,12000,24436
103,12500,25535
103,13000,26672
103,13500,27368
103,14000,28418
103,14500,29448
103,15000,30603
103,15500,31642
103,16000,32251
103,16500,33421
103,17000,34330
103,17500,35526
103,18000,36526
103,18500,37208
103,19000,38341
103,19500,39253
103,19900,40156
117,200,411
117,300,654
117,400,848
117,500,1039
117,600,1248
117,700,1443
117,800,1603
117,900,1706
117,1000,1949
117,1500,3005
117,2000,4004
117,2500,4992
117,3000,5923
117,3500,7120
117,4000,7937
117,4500,8966
117,5000,10013
117,5500,10844
117,6000,12180
117,6500,13102
117,7000,14036
117,7500,15161
117,8000,15986
117,8500,17048
117,9000,18110
117,9500,19324
117,10000,20156
117,10500,21170
117,11000,22007
117,11500,23071
117,12000,24093
117,12500,25142
117,13000,26342
117,13500,27182
117,14000,28203
117,14500,29551
117,15000,30268
117,15500,31427
117,16000,32426
117,16500,33493
117,17000,34350
117,17500,35694
117,18000,36305
117,18500,37272
117,19000,38130
117,19500,39283
117,19900,40233
236,200,398
236,300,609
236,400,754
236,500,1029
236,600,1155
236,700,1357
236,800,1601
236,900,1743
236,1000,1948
236,1500,3029
236,2000,4003
236,2500,5039
236,3000,6224
236,3500,7211
236,4000,8380
236,4500,9261
236,5000,10271
236,5500,11193
236,6000,12250
236,6500,13084
236,7000,14008
236,7500,15292
236,8000,16325
236,8500,17177
236,9000,18365
236,9500,19393
236,10000,20516
236,10500,21405
236,11000,22518
236,11500,23616
236,12000,24757
236,12500,25666
236,13000,26744
236,13500,27640
236,14000,28413
236,14500,29347
236,15000,30371
236,15500,31525
236,16000,32449
236,16500,33544
236,17000,34719
236,17500,35614
236,18000,36743
236,18500,37773
236,19000,38617
236,19500,39726
236,19900,40203
763,200,516
763,300,675
763,400,810
763,500,1032
763,600,1264
763,700,1533
763,800,1630
763,900,1887
763,1000,2052
763,1500,2916
763,2000,3911
763,2500,4998
763,3000,6033
763,3500,7029
763,4000,7952
763,4500,9128
763,5000,10140
763,5500,11172
763,6000,12042
763,6500,13332
763,7000,14288
763,7500,15435
763,8000,16386
763,8500,17596
763,9000,18643
763,9500,19562
763,10000,20371
763,10500,21463
763,11000,22791
763,11500,23623
763,12000,24595
763,12500,25663
763,13000,26703
763,13500,27733
763,14000,28339
763,14500,29570
763,15000,30231
763,15500,31521
763,16000,32216
763,16500,33483
763,17000,34423
763,17500,35337
763,18000,36330
763,18500,37274
763,19000,38569
763,19500,39466
763,19900,40222
375,200,393
375,300,623
375,400,855
375,500,1011
375,600,1170
375,700,1359
375,800,1559
375,900,1809
375,1000,1945
375,1500,3092
375,2000,4219
375,2500,5228
375,3000,6204
375,3500,7212
375,4000,8294
375,4500,9414
375,5000,10520
375,5500,11339
375,6000,12307
375,6500,13392
375,7000,14469
375,7500,15466
375,8000,16542
375,8500,17349
375,9000,18326
375,9500,19206
375,10000,20318
375,10500,21540
375,11000,22188
375,11500,23558
375,12000,24395
375,12500,25053
375,13000,26203
375,13500,27446
375,14000,28610
375,14500,29455
375,15000,30823
375,15500,31818
375,16000,32872
375,16500,33843
375,17000,34834
375,17500,36072
375,18000,36667
375,18500,37828
375,19000,38556
375,19500,39651
375,19900,40408
167,200,366
167,300,597
167,400,808
167,500,952
167,600,1108
167,700,1231
167,800,1472
167,900,1666
167,1000,1841
167,1500,2887
167,2000,4051
167,2500,5044
167,3000,6004
167,3500,6954
167,4000,8233
167,4500,9123
167,5000,10046
167,5500,11087
167,6000,12241
167,6500,13296
167,7000,14129
167,7500,15290
167,8000,16376
167,8500,17173
167,9000,18195
167,9500,19292
167,10000,19952
167,10500,21274
167,11000,22360
167,11500,23183
167,12000,24339
167,12500,25255
167,13000,26286
167,13500,27157
167,14000,28079
167,14500,29108
167,15000,30347
167,15500,31303
167,16000,32066
167,16500,32974
167,17000,33930
167,17500,35611
167,18000,36563
167,18500,37514
167,19000,38490
167,19500,39262
167,19900,40074
192,200,383
192,300,580
192,400,756
192,500,888
192,600,1126
192,700,1283
192,800,1545
192,900,1730
192,1000,1911
192,1500,2787
192,2000,3676
192,2500,4571
192,3000,5744
192,3500,6694
192,4000,7784
192,4500,8847
192,5000,9747
192,5500,10834
192,6000,11970
192,6500,12984
192,7000,13821
192,7500,15053
192,8000,16095
192,8500,17069
192,9000,17964
192,9500,19202
192,10000,20370
