name,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
SigmarOne,-13.540537541688845,-47.041305627650104,2.2575562838273893,-16.85343944283131,29.172803623703064,-62.649437842007394,82.72752005699864,46.20882078731998,-24.25600946170111,-1.6826320372535986,39.0555010067483,-30.78581807743102,16.35720647770896,-74.66372236549192,29.880495510648185,-67.57161699088007,44.87701328035529,-91.45850230010512,9.22007292137214,10.463702894269202,29.35666890930706,-4.244933562754485,-80.80704923185303,-10.14756596073503,46.06151230994866,12.936123262865657,-7.6894490628726535,7.397692178456694,-90.138163089657,6.0516329527393475,-99.99999531336385
Arimo-Bold,-45.89817985707652,-61.906187507874705,-45.765866312098694,-13.670905574348028,41.873570529546114,-76.27738840708344,44.48206657506405,16.521860805489368,-66.38634377292526,8.261000704277397,-41.40397569411666,22.383805622574403,74.10126384538496,-75.8770082331403,78.31455277192256,-70.69832465354537,17.705929678597307,-41.52935306315323,26.587925668325298,54.06809280186843,13.413179160486205,-78.69940897944572,10.639687294363247,-52.8378783762585,42.47023873879805,-14.56553464947753,-61.599145165653724,-51.580062413179135,-25.977398052194328,57.25970014820963,26.73326773388275
BubblerOne,7.617405887055117,-53.31044679129582,-7.824491074707366,68.7879791425144,47.692158520921964,-48.348229802519796,-8.58133528138198,-67.52433486428379,7.182022711682657,-69.63526274660614,4.8426703071317725,72.39665013064074,-23.27083848253318,-72.36317113829384,9.916424923045103,-35.47989515896901,-27.49186215364004,63.70068170395415,8.400164268641328,26.97689606191279,-20.045917071459762,-12.971068955832369,35.34418722665147,-23.799232471661792,38.665770607530135,-24.512202293495747,-9.125239015894051,-2.8240588432235962,99.99999225863924,10.231311477194508,83.66504724114264
Overlock-Italic,-9.25560729654479,-41.22062744749757,-45.5181779597911,50.48366645273378,50.97976514375627,-33.41059358867493,-2.3380339777120005,-7.390084541752066,-11.949462652864293,-2.721099881486281,-24.513149658926526,87.21136624523989,70.94369194526327,-63.38532981536803,45.5071941509283,-16.571286593845084,-11.127858187664915,51.496958005868855,64.44498743513873,43.37566658372603,-14.981071104975381,-38.293968513923225,30.572991861898,-16.499873451976676,20.55324676145401,-40.85246766913873,-44.93012257751236,-9.004769753603108,30.853217392795386,42.29766900540568,74.38093739426245
SourceCodePro-ExtraLight,-77.07031815031667,-66.14701944211615,-53.24387296909356,99.99998431599752,16.166160136933748,-39.11275236949824,-45.75443371676242,-69.06765996194012,-46.92909048073338,-82.09032968184309,-49.105617642858945,42.8871141838457,-39.76569451964612,-91.53303195928713,10.836677716821066,-63.29184194648574,-23.19550320874192,63.91870341497659,-70.79239961509285,36.054455053256724,21.483985164934726,-27.90600083963666,39.0921143349603,-52.32758083714644,60.53772701926243,-27.70049684014339,6.525336919562112,-15.685968519859953,71.70222275639729,37.17846043338366,72.0106419657988
TitanOne,-48.11763391621735,-24.952409920797017,12.337188904365961,-11.116664168924773,30.5173087939557,-66.83461619140691,61.19563352679552,92.65186588686957,-23.84875938552244,-18.621364028898043,20.830383075462258,-28.088553038198896,-31.058918087968166,-85.8784199779302,37.207462107099715,-74.80071618470049,27.2796446173314,-60.86800405937305,12.03270811658339,39.08159476186094,22.44601421916617,-27.503695361829458,15.735233849196463,0.08948471539088802,22.994553980000376,-0.08160364119079525,7.034246466982047,5.665409680274026,-99.99986858115567,15.8730143122553,-99.99999088554335
AveriaLibre-LightItalic,-14.247418067759122,-36.840167076204544,-60.719257651216196,48.90282791510302,59.969179657846226,-16.350614613788416,4.213159607721382,-23.818412913115075,-17.340315755604202,7.445385126998332,-18.111708297480487,69.19274033257959,32.71305229298061,-39.37791180139137,59.63264789938747,-22.299655422001447,8.199230595593928,43.68548418560414,34.555712903646224,21.209081600591826,-5.574615325423118,-22.037241066738694,25.59539151316485,-45.6552409737292,10.494655300806922,-31.443455350590003,-54.67593461679841,-23.07781448181019,34.86078089964784,44.03606558193857,73.40747253635519
Lato-Italic,-35.728813861582765,-52.087453224365845,-31.062829698827297,53.1994831905218,44.06280669233636,-23.46577975290922,22.3603038260341,-5.766234392421159,-21.809425030372992,18.383847018968694,-31.185751160830694,62.36554652782114,49.80033628906054,-61.501665968913976,63.19071105270055,-14.581614843007406,-9.727243845300366,36.76398062058713,34.40263561345742,35.966074101067115,-8.012967962810277,-32.78646329415106,37.66334237740311,-45.73347954066665,33.26713121843993,-25.572062849909383,-24.56630768784096,3.7102928315808597,7.043551022386576,84.78790666868785,82.28653048762845
Tulpen,-35.4559523779307,-47.64318828452552,13.237162518867029,65.97788410605575,26.62637449884098,-49.76477026127337,-32.71938018635118,-51.66619289281013,1.8408314186648078,-50.19239365075355,32.663831765233304,57.767668388127596,-20.94287532544103,-83.8121477112,-54.41105800744184,-68.36900753406157,9.58657913892087,75.72299408863687,-40.04133089952076,-15.453324404567853,-99.99999268044066,16.145721905349234,31.143771656940313,-29.640292969331753,44.80231087572016,-13.437558502445645,41.04034803008852,-21.209959372746624,99.99997846874086,-99.99999667665995,75.82516700242908
BlackOpsOne-Regular,2.693217611219986,-27.18766787379006,24.737640354019312,-42.97796761293269,43.49607222736772,-80.57827108188589,51.59093065011679,49.55962285811172,-16.035842799864106,33.44174008739067,37.33021783497526,-9.83507988819257,2.444564997966278,-65.80636284566798,-33.17820571215904,-61.107504205768024,29.921304546512868,-36.68354395029466,0.8799244454700981,-15.804963915021144,20.653001922162385,12.109570234536328,-28.311780519401303,15.283577874711392,39.09838252073231,68.62658188731059,9.273934801100443,26.98907767752229,-99.99993460380858,-14.312046982762203,-6.143942042585998
Aldrich,-47.75636793081162,-40.159507259810006,-19.932688607965023,41.286428611912875,36.678874904095956,-75.64136404648778,35.434128268765534,5.573301808183263,-2.068254727472921,-21.417735663464885,-7.946626016311525,47.20455873006493,-40.329740384180674,-62.3921233359093,47.97289958476657,-68.59809205295302,18.463990836682378,-33.12761589698088,14.151970065073186,17.093649108441365,8.296674171491816,-17.742860558240626,-38.55285544782773,-37.28934583873428,31.809168428963485,-17.060186439563573,-8.013005810374738,1.2904820399538393,6.285807815063089,29.115340812346542,30.03751492803054
